path,label
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse001_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse002_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse003_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse004_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse005_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse006_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse007_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse008_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse009_x264_emb_9.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_0.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_1.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_2.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_3.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_4.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_5.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_6.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_7.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_8.npy,Abuse
/root/autodl-tmp/code/ssj/text/ucf/Abuse010_x264_emb_9.npy,Abuse
